exp,run_id,engine,scenario,scheme,mode,batch,zipf_s,ep_size,total_tokens,konig_us,rtt_us,barrier_us,cct_us,step_us,throughput_GBs,lat_mean,lat_p50,lat_p99,hot_p99,cold_p99,hot_mean,cold_mean,roundtrip_step_us,hist_path
exp1_dispatch,s1_ub_rg_b16_z0.9_ep0_sd1,packet,1,ub_rg,dispatch,16,0.9,128,16384,0.0,0.6,0.4,56.041,56.441,2095.617708,7.273433,3.172,32.968,34.871,4.534,13.34213,2.285303,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s1_ub_rg_b16_z0.9_ep0_sd1/hist.csv
exp1_dispatch,s1_ub_rg_b16_z0_ep0_sd1,packet,1,ub_rg,dispatch,16,0.0,128,16384,0.0,0.6,0.4,10.114,10.514,11611.67807,3.510453,3.457,6.028,6.089,5.988,3.544292,3.523839,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s1_ub_rg_b16_z0_ep0_sd1/hist.csv
exp1_dispatch,s1_ub_rg_b256_z0.3_ep0_sd1,packet,1,ub_rg,dispatch,256,0.3,128,262144,0.0,0.6,0.4,282.126,282.526,6660.315575,20.132418,15.878,56.33,122.392,35.989,35.410873,15.020877,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s1_ub_rg_b256_z0.3_ep0_sd1/hist.csv
exp1_dispatch,s1_ub_rg_b256_z0.7_ep0_sd1,packet,1,ub_rg,dispatch,256,0.7,128,262144,0.0,0.6,0.4,645.312,645.712,2911.844491,46.195592,12.533,158.268,230.7,27.797,106.055029,11.006431,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s1_ub_rg_b256_z0.7_ep0_sd1/hist.csv
exp1_dispatch,s1_ub_rg_b256_z0.9_ep0_sd1,packet,1,ub_rg,dispatch,256,0.9,128,262144,0.0,0.6,0.4,883.38,883.78,2127.111993,76.906425,11.503,310.895,264.337,26.772,156.192088,9.232107,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s1_ub_rg_b256_z0.9_ep0_sd1/hist.csv
exp1_dispatch,s1_ub_rg_b256_z0_ep0_sd1,packet,1,ub_rg,dispatch,256,0.0,128,262144,0.0,0.6,0.4,168.478,168.878,11153.077506,17.686844,16.825,49.405,57.075,41.738,19.290998,17.626963,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s1_ub_rg_b256_z0_ep0_sd1/hist.csv
exp1_dispatch,s2_packet_spray_b16_z0.3_ep0_sd1,packet,2,packet_spray,dispatch,16,0.3,1024,131072,109.81376,0.0,4.0,122.283,126.283,7683.194688,25.028631,22.42,63.259,92.71,37.897,31.842149,22.985575,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s2_packet_spray_b16_z0.3_ep0_sd1/hist.csv
exp1_dispatch,s2_packet_spray_b16_z0.7_ep0_sd1,packet,2,packet_spray,dispatch,16,0.7,1024,131072,697.30304,0.0,4.0,730.342,734.342,1286.416632,62.857384,23.627,627.347,214.589,125.548,111.00491,24.537299,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s2_packet_spray_b16_z0.7_ep0_sd1/hist.csv
exp1_dispatch,s2_packet_spray_b16_z0.9_ep0_sd1,packet,2,packet_spray,dispatch,16,0.9,1024,131072,1321.92256,0.0,4.0,1383.209,1387.209,679.235095,142.860865,36.082,1306.638,151.492,183.167,224.781489,24.533051,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s2_packet_spray_b16_z0.9_ep0_sd1/hist.csv
exp1_dispatch,s2_packet_spray_b16_z0_ep0_sd1,packet,2,packet_spray,dispatch,16,0.0,1024,131072,24.08448,0.0,4.0,29.146,33.146,32235.095588,22.312462,22.111,26.107,26.056,23.464,22.299301,22.293561,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp1_dispatch/s2_packet_spray_b16_z0_ep0_sd1/hist.csv
